FID,IID,Flowering_time,snp1,snp2,snp3,type
F96,118,85.33333333,2,1,1,training
F97,119,126,2,1,1,training
F98,120,104.91666667,2,1,1,training
F99,121,102.16666667,2,2,2,training
F100,122,119.1111111,2,1,1,training
F101,123,110,2,2,2,training
F102,124,NA,1,2,2,training
F103,125,107.75,1,2,2,training
F104,126,118,2,2,2,training
F105,128,96.25,2,2,1,training
F106,129,103.83333333,2,2,1,training
F107,130,96.75,0,2,1,training
F108,131,92.77777778,1,2,1,training
F109,132,122.8333333,2,2,2,training
F110,134,99.6,2,2,2,training
F111,136,NA,1,1,2,training
F112,137,94.33333333,1,2,1,training
F113,138,NA,1,2,1,training
F114,139,98.6,2,1,0,training
F115,140,94.45454545,1,2,1,training
F116,141,115.5,1,2,2,training
F117,142,123.8888889,1,2,1,training
F118,143,114.33333333,2,2,2,training
F119,144,NA,1,1,2,training
F120,145,115,2,2,2,training
F121,146,NA,1,2,1,training
F122,147,121.8,2,2,1,training
F123,148,NA,2,1,2,training
F124,149,110,1,1,0,training
F125,150,92.7,1,2,0,training
F126,151,105.4,1,2,2,training
F127,152,95.16666667,1,2,1,training
F128,153,96.25,1,2,1,training
F129,154,85.91666667,2,0,1,training
F130,155,97.5,2,2,1,training
F131,156,108.83333333,1,2,2,training
F132,157,97,1,2,0,training
F133,158,102,2,2,0,training
F134,160,97.83333333,1,2,2,training
F135,161,109.25,2,1,1,training
F136,162,123,1,2,1,training
F137,163,117.75,2,1,2,training
F138,164,116.8333333,1,2,1,training
F139,165,100,2,2,1,training
F140,166,122.0833333,2,2,2,training
F141,168,116.0833333,2,2,1,training
F142,171,88.66666667,2,2,2,training
F143,173,99.33333333,0,1,2,training
F144,174,116.0833333,2,1,2,training
F145,175,NA,2,2,1,training
F146,176,113.85714286,1,2,2,training
F147,177,94,2,2,2,training
F148,178,106,2,2,2,training
F149,179,83.83333333,2,2,0,training
F150,180,94.41666667,1,2,2,training
F151,181,122.2222222,2,2,1,training
F152,182,119.3333333,2,2,0,training
F153,183,106,2,2,0,training
F154,184,98.75,2,2,1,training
F155,185,107.5,2,2,1,training
F156,186,105.5,2,2,2,training
F157,187,88.33333333,2,1,1,training
F158,188,116.5,2,1,2,training
F159,189,91.75,1,2,1,training
F160,190,126.5,2,2,1,training
F161,191,97.75,2,1,2,training
F162,192,64.75,1,2,0,training
F163,193,113.5,1,2,1,training
F164,194,NA,2,2,1,training
F165,195,107,1,2,2,training
F166,196,134,2,2,2,training
F167,197,137,1,2,1,training
F168,198,96.75,2,2,0,training
F169,199,103.75,2,1,1,training
F170,200,115.75,2,0,2,training
F171,201,123.6666667,2,2,2,training
F172,202,102,2,1,0,training
F173,203,93.83333333,2,1,1,training
F174,205,90.25,2,1,1,training
F175,206,116.4166667,2,2,1,training
F176,207,115,2,2,1,training
F177,208,127.9,2,2,1,training
F178,209,96.5,0,2,2,training
F179,204,91.75,1,2,2,training
F180,211,88.08333333,2,2,2,training
F181,212,101.25,2,2,0,training
F182,213,97.5,2,2,1,training
F183,214,107.58333333,1,1,1,training
F184,215,121.0833333,2,2,2,training
F185,217,97.5,2,2,2,training
F186,218,103.83333333,2,2,2,training
F187,219,65.25,1,2,0,training
F188,220,77.83333333,2,1,2,training
F189,221,90.66666667,2,2,2,training
F190,222,94.75,1,2,2,training
F191,223,101.08333333,2,1,2,training
F192,224,104.75,2,2,1,training
F193,225,92.25,2,1,2,training
F194,226,93.75,1,2,2,training
F195,228,92.91666667,2,2,1,training
F196,232,81.66666667,1,2,2,training
F197,233,81.58333333,1,2,1,training
F198,234,87.25,2,1,1,training
F199,235,97.91666667,1,2,2,training
F200,236,97.08333333,1,2,2,training
F201,237,90.58333333,2,2,1,training
F202,240,92.33333333,1,2,2,training
F203,241,107.25,1,2,2,training
F204,242,96.75,1,2,2,training
F205,243,73.75,1,2,1,training
F206,248,92.5,2,2,1,training
F207,250,69.75,2,1,1,training
F208,251,99.75,1,2,1,training
F209,252,90.75,2,1,2,training
F210,254,90.16666667,1,2,1,training
F211,255,110.91666667,1,2,2,training
F212,257,78.83333333,2,2,0,training
F213,258,114.5,2,1,1,training
F214,259,118.4166667,2,2,1,training
F215,261,94.75,2,2,1,training
F216,262,115.4166667,1,1,2,training
F217,264,96,2,2,2,training
F218,266,88.75,2,2,2,training
F219,267,92.16666667,2,2,1,training
F220,268,75.4,1,2,2,training
F221,269,117.8333333,2,1,1,training
F222,270,88.75,2,2,1,training
F223,271,90.66666667,1,1,2,training
F224,272,123.0833333,1,2,2,training
F225,273,100.16666667,2,2,2,training
F226,274,124,2,2,2,training
F227,275,95.66666667,2,2,2,training
F228,276,95.25,2,2,1,training
F229,277,94.33333333,1,2,1,training
F230,278,100,2,2,2,training
F231,279,72.25,2,1,2,training
F232,280,99.08333333,1,2,2,training
F233,282,95.91666667,2,2,1,training
F234,283,92.58333333,2,2,1,training
F235,285,88.5,0,2,1,training
F236,286,98,2,1,1,training
F237,287,69.5,2,2,1,training
F238,288,70,1,2,1,training
F239,289,78,2,1,2,training
F240,290,92.75,2,2,2,training
F241,291,79.08333333,1,1,2,training
F242,293,116.75,1,2,1,training
F243,296,91.75,1,1,2,training
F244,297,91.83333333,1,2,0,training
F245,298,114,2,1,0,training
F246,299,85.33333333,1,2,2,training
F247,300,88.25,1,2,1,training
F248,301,90.58333333,2,2,1,training
F249,302,94.25,2,2,1,training
F250,303,96.75,1,2,2,training
F251,304,116.0833333,2,1,2,training
F252,305,94.08333333,2,2,2,training
F253,306,77.5,2,2,2,training
F254,308,108.91666667,2,2,2,training
F255,309,121,2,2,2,training
F256,310,99.41666667,2,2,1,training
F257,311,95.5,2,2,1,training
F258,312,114.5,2,2,1,training
F259,313,98.5,1,2,1,training
F260,314,93.16666667,0,2,2,training
F261,315,116.41666667,2,2,2,training
F262,316,95.41666667,1,1,2,training
F263,317,108.75,2,2,2,training
F264,318,108.16666667,2,2,0,training
F265,320,106.25,1,1,1,training
F266,321,96.75,1,2,2,training
F267,323,115.1666667,2,2,0,training
F268,324,99,2,2,1,training
F269,325,87.75,1,2,0,training
F270,328,108.5,2,2,1,training
F271,329,108,2,1,1,training
F272,330,115,2,2,1,training
F273,331,113.5,2,2,2,training
F274,332,115.6666667,2,2,1,training
F275,333,80.58333333,2,2,2,training
F276,334,88.58333333,2,2,0,training
F277,335,96.5,1,2,2,training
F278,336,116.25,2,2,2,training
F279,337,99,2,2,2,training
F280,340,103.16666667,2,2,1,training
F281,341,104.75,2,2,2,training
F282,343,93.66666667,2,2,2,training
F283,344,95,1,2,2,training
F284,345,109.75,2,2,2,training
F285,346,99.83333333,2,2,1,training
F286,347,105.25,1,1,2,training
F287,348,85,1,2,1,training
F288,349,111.75,2,2,2,training
F289,350,81.5,2,2,2,training
F290,353,99.75,1,2,1,training
F291,355,87.91666667,2,2,0,training
F292,356,102,2,1,2,training
F293,357,117.75,2,2,2,training
F294,358,108.58333333,2,2,1,training
F295,359,97.41666667,1,2,2,training
F296,360,113.41666667,2,1,2,training
F297,361,113.25,2,2,1,training
F298,363,106,2,2,2,training
F299,364,90.75,1,2,1,training
F300,366,112.75,1,2,1,training
F301,367,90.75,1,2,2,training
F302,368,94,2,1,2,training
F303,369,84.75,0,2,1,training
F304,370,99.33333333,2,2,1,training
F305,371,98,2,2,1,training
F306,372,103.5,2,2,2,training
F307,375,NA,2,2,2,training
F308,376,97.5,2,2,2,training
F309,377,101.08333333,1,2,1,training
F310,378,124.6,2,2,2,training
F311,379,106.66666667,2,2,1,training
F312,380,107.75,1,2,2,training
F313,381,105.83333333,1,2,2,training
F314,384,99.16666667,0,2,1,training
F315,385,95.75,2,1,1,training
F316,386,94.66666667,1,2,1,training
F317,387,93.33333333,2,2,1,training
F318,389,118.75,1,2,1,training
F319,391,101.08333333,2,2,1,training
F320,392,107.41666667,2,2,2,training
F321,394,104,2,2,2,training
F322,395,102.58333333,2,2,0,training
F323,396,99.66666667,2,2,1,training
F324,398,113.5,1,2,2,training
F325,399,93.91666667,2,1,2,training
F326,400,102.75,2,1,0,training
F327,616,99,2,2,2,training
F328,619,93,1,2,2,training
F329,621,97.5,1,2,1,training
F330,622,95.5,2,1,1,training
F331,628,96.5,1,2,2,training
F332,635,NA,2,2,0,training
F333,636,NA,2,2,1,training
F334,637,NA,2,2,1,training
F335,638,NA,2,2,2,training
F336,639,NA,2,2,2,training
F337,640,NA,1,2,0,training
F338,641,NA,2,2,2,training
F339,642,NA,1,1,2,training
F340,643,NA,1,2,1,training
F341,644,NA,2,1,2,training
F342,645,NA,2,2,2,training
F343,647,NA,1,2,2,training
F344,651,NA,2,2,1,training
F345,652,NA,1,2,2,training
F346,648,NA,2,2,2,training
F347,12,110.8333333,1,2,0,training
F348,19,96.66666667,1,2,1,training
F349,30,116,1,2,1,training
F350,36,101.41666667,1,2,0,training
F351,52,NA,2,2,0,test
F352,54,123.8333333,1,2,2,test
F353,62,NA,2,1,2,test
F354,64,NA,2,2,2,test
F355,91,NA,2,2,0,test
F356,104,95.5,2,2,2,test
F357,159,NA,2,2,0,test
F358,169,97.75,2,1,1,test
F359,170,101,1,2,2,test
F360,172,88.5,2,2,1,test
F361,229,68.5,1,2,1,test
F362,245,93.91666667,1,2,2,test
F363,247,92.91666667,2,2,2,test
F364,263,91.25,2,2,2,test
F365,265,92.91666667,2,1,2,test
F366,281,100.33333333,2,2,1,test
F367,284,96,2,1,2,test
F368,292,82.83333333,2,1,2,test
F369,294,94.66666667,2,1,0,test
F370,295,93.75,2,2,1,test
F371,390,109.25,2,2,2,test
F372,620,106.5,2,2,1,test
F373,623,108,2,2,2,test
F374,624,101.5,2,1,2,test
F375,625,103.5,2,2,2,test
F376,626,105.5,2,1,2,test
F377,627,77,2,2,1,test
F378,630,99.5,1,2,2,test
F379,632,93.5,1,2,1,test
F380,633,112.5,2,2,2,test
F381,634,101,1,2,1,test
F382,244,121.4166667,2,2,1,test
F383,135,111.16666667,2,2,2,test
F384,326,96.25,1,2,1,test
F385,37,100.83333333,2,1,2,test
F386,629,84.5,2,2,0,test
F387,342,105.25,2,2,1,test
F388,319,112.75,1,2,1,test
F389,90,88.58333333,1,1,0,test
F390,327,105,2,2,1,test
F391,322,116.75,2,2,2,test
F392,112,115,2,2,2,test
F393,352,NA,2,2,2,test
F394,231,83.5,2,2,2,test
F395,227,122.1666667,1,2,2,test
F396,167,103.08333333,2,2,1,test
F397,253,97.66666667,2,2,1,test
F398,246,103.75,1,1,1,test
F399,239,90.5,1,2,1,test
F400,397,100.25,1,1,2,test
F401,618,96.5,2,2,2,test
F402,373,97.75,2,1,0,test
F403,260,98.41666667,1,1,1,test
F404,338,88.66666667,1,2,0,test
F405,249,86.33333333,2,2,0,test
F406,388,102.81818182,2,1,1,test
F407,365,82,1,2,0,test
F408,307,96,2,2,2,test
F409,21,113.75,1,2,2,test
F410,256,74.75,1,2,1,test
F411,339,104,2,2,2,test
F412,133,104.625,2,2,1,test
F413,216,121.0833333,1,2,1,test
